Group,Code,Title,Description,요구사항 코드,비고,H-Cloud 수신,H-Cloud 송신,자체처리
,NOW_005,"Solar 발전, 방전 상태","태양열 발전, 방전 전력 및 정상 작동여부 표시. ",SFR-101,,"PV 발전량, 상태, 예측값",,
,NOW_006,Solar 발전 예측값 및 발전 효율,태양열 발전 예측값을 바탕으로 발전 효율 표시,,,,,
,NOW_007,"Grid 수전, 송전 상태","Grid를 통한 수전, 송전 전력 및 정상 작동여부 표시",SFR-101,,"Grid 전력량, 상태",,
,NOW_008,"ESS 충전, 방전 상태","ESS 충전, 방전 전력 및 정상 작동여부 표시 (충전중, 방전중, 대기, 충전효율 낮음, 방전효율 낮음)",SFR-102,,"ESS 충방전량, 상태",,
,NOW_009,ESS SoC 표시,"배터리 잔여량, 잔여률(%), 배터리 용량",SFR-102,,ESS SoC %,,
,NOW_010,ESS 예비율 설정값 표시,ESS 예비율 설정값 표시,SFR-304,,,,60Hz 자체 처리 (DB 저장값)
,NOW_011,ESS 활용가능 시간 표시,"현재 보유한 에너지로 현재 모드에서 ESS 단독 사용 시 사용가능 시간 표시
- 시뮬레이션을 통해 계산 필요",SFR-403,,"ESS SoC, 현재 소비량",,60Hz에서 계산 (확인 필요)
,NOW_012,ESS 충전완료 예상 시간 표시,"완충까지 남은 시간 표시
예비율 도달까지 남은 시간 표시",SFR-404,,"ESS SoC, 충전 속도",,60Hz에서 계산 또는 H-Cloud 제공 (확인 필요)
,NOW_013,"EV 충전, 방전 상태","EV 충전, 방전 전력 및 정상 작동여부 표시 (충전중, 방전중, 대기)
- EV 방전은 현재 스펙상 불가하지만 미래를 고려해 값은 잡아둠",SFR-103,,"EV 충전량, 상태",,
,NOW_014,EV 플러그 연결 상태,EV 플러그 연결 상태 표시,,,EV 플러그인 여부,,
,NOW_015,EV SoC 표시,"배터리 잔여량, 잔여률(%), 배터리 용량",,,EV SoC %,,
,NOW_016,EV 주행가능 거리 표시,"현재 보유한 에너지로 주행 시 주행가능한 거리 표시
- EV에서 업데이트 받은 데이터 표시",,,EV 주행가능거리,,
,NOW_017,EV 충전완료 예상 시간 표시,완충까지 남은 시간 표시,,,"EV 충전 속도, SoC",,
,NOW_018,해당일 예상 데이터,"해당일의 예상 데이터와 현재 달성률 노출
- 발전량 , 사용량, 전략량(수전, 송전)",SFR-112,,"PV 발전량 예측, 부하 예측",,
전체 데이터 조회,DAT_001,Solar 발전 데이터,Solar 발전 데이터,SFR-112,,시간별 PV 발전량,,
,DAT_002,Solar 사용 데이터,"Solar 사용 데이터
- Solar 발전 전력이 사용된 ESS/Home/EV/Grid 전력량과 비중 제공",,,에너지 플로우 매트릭스 (PV→ESS/Home/EV/Grid),,
,DAT_003,Solar 발전량 대비 자가소비율,Solar 발전량 대비 사용 비율,SFR-202,,에너지 플로우 매트릭스,,60Hz에서 계산
,DAT_004,Home 사용 데이터,"Home 사용 데이터
- 사용된 Solar/ESS/EV/Grid 전력량과 비중 제공",SFR-111,,에너지 플로우 매트릭스 (Solar/ESS/Grid→Home),,
,DAT_005,ESS 충전 데이터,"ESS 충전 데이터
- 사용된 Solar/EV/Grid 전력량과 비중 제공",SFR-113,,에너지 플로우 매트릭스 (Solar/Grid→ESS),,
,DAT_006,ESS 방전 데이터,"ESS 방전 데이터
- 공급된 Home/EV 전력량과 비중 제공",SFR-113,,에너지 플로우 매트릭스 (ESS→Home/EV),,
,DAT_007,ESS 충/방전 효율 분석,"유/무효 전력을 고려하여 효율성 산출
* 충전 효율 (η_charge) = 저장된 에너지 증가량 / 충전에 사용된 전력
* 방전 효율 (η_discharge) = 방전된 에너지 / ESS 에서 감소한 에너지
* 왕복 효율 (η_round_trip) = 방전 효율 × 충전 효율",,,,,
,DAT_008,ESS 백업 데이터,"백업 사용, 사용 종료 데이터
- 백업 사용 시작 일시, 백업 사용 종료 일시, 백업 사용 종료 사유 (전력 공급 재개, ESS 예비량 소진)
- 예비율(예비량), 사용한 예비율(사용량)
- 백업 사용 시간
- 사용시간 합계, 최대 백업 사용시간건 체크",SFR-222,"잔여가 0 이 아니고 최고가 100이 아님. 상한선을 확인해서 진행.
상한선, 하한선 확인해봐야함. 표시해주자.",백업 이벤트 로그,,
,DAT_009,EV 충전 데이터,"EV 충전 데이터
- 사용된 Solar/ESS/EV/Grid 전력량과 비중 제공",SFR-115,,에너지 플로우 매트릭스 (Solar/Grid/ESS→EV),,
,DAT_010,EV 방전 데이터,"EV 방전 데이터
- 공급된 Home/ESS 전력량과 비중 제공",,,,,
,DAT_011,Grid 수전 데이터,"Grid 수전 데이터
- 사용된 ESS/Home/EV 전력량과 비중 제공",,,에너지 플로우 매트릭스 (Grid→ESS/Home/EV),,
,DAT_012,Grid 송전 데이터,"Grid 송전 데이터
- 공급된 Solar/ESS/EV 전력량과 비중 제공",SFR-114,,에너지 플로우 매트릭스 (Solar/ESS→Grid),,
,DAT_013,자체 에너지 사용 자립율,"전체 에너지 대비 자체 에너지 사용량 및 비율. 자체 에너지 사용에 대한 자립률(%)
- 자체 에너지 : Solar/ESS/EV
- 그 외 : Grid",SFR-201,,에너지 플로우 매트릭스,,60Hz에서 계산
에너지 가치,VAL_001,자체 에너지 사용에 따른 절감비용,설정된 요금정보를 활용하여 절감비용 계산,"SFR-211
SFR-212",,에너지 플로우 매트릭스,,60Hz에서 계산 (요금제 적용)
,VAL_002,Grid 송전 수익,설정된 요금정보를 활용하여 Grid 송전에 따른 수익금액 계산,"SFR-211
SFR-212",,Grid 송전량,,60Hz에서 계산 (요금제 적용)
,VAL_003,월별 리포트,"월별 리포트
- 절감액 및 송전수익
- 사용량 및 자립률
- 에너지 사용량 및 사용비중
- 에너지 발전량 및 사용량, 송전량, 발전 대비 사용률
- 전력망 수전 비용
- 인사이트 정보 : 지난달, 지난해 같은 달과 비교 내용",SFR-211,,월간 집계 데이터,,60Hz에서 계산/생성
,VAL_004,월별 리포트 > 시간대 평균 데이터,"시간대별 평균 데이터 계산하여 노출
- 에너지 발전량
- 에너지 사용량
- 에너지 자립율
- 에너지 수전량, 송전량
- 인사이트 정보 : 지난달, 지난해 같은 달과 비교 내용",SFR-111,,시간별 데이터,,60Hz에서 계산/생성
,VAL_005,이번달 예상 리포트,"해당월의 예상 데이터
- 경과 기간 : 실제 데이터
- 미래 기간 : 예측 데이터
- 사용패턴 및 기상정보를 활용하여,
  미래기간의 사용량, 자립 에너지 사용량, 송전량, 수전량을 도출하여 예상금액까지 계산",,,,,
설정,SET_001,"[SET_001] 전기요금 프리셋 선택 (전력 비용, 판매 단가)","북미 지역 요금제 프리셋 제공
- 주 : 캘리포니아 > 공급사 : PG&E > 요금제 : EV2-A
- 주 : 캘리포니아 > 공급사 : SCE > 요금제 : TOU-D-PRIME
프리셋 요금제에 따라 시뮬레이션 시 계산 진행
각 공급사별 전력 판매 단가에 따라 시뮬레이션 시 계산 진행","SFR-213
SFR-511",,,,60Hz 자체 처리 (DB 프리셋)
,SET_002,요금 직접 설정,"요금 직접 설정 기능
- 일 고정비용
- 시즌 : 여름 추가, 겨울 추가
- 주말 사용여부
- 시간 : 시즌, 주말 여부 반영하여 시간대 설정, 피크, 슈퍼피크, 오프 중 설정
- 설정된 시간대별 수전 단가, 송전 단가 금액 설정","SFR-213
SFR-512",,,,60Hz 자체 처리 (DB 저장)
,SET_003,사용모드 설정,"사용모드 설정
- 스마트 모드 (Smart)
- 자가소비 최적화 모드 (Self Powered) 
- 피크부하 저감 모드 (Time Based) ",SFR-301,,,운영 모드 설정값,
,SET_004,송전 설정,"Grid로 송전할 에너지 설정
- 사용안함 / Solar만 / Solar+ESS","SFR-501
SFR-502",,,방전 전략 설정값,
,SET_005,ESS 예비율 설정,"ESS 상시 보유할 예비율 설정
- 기기의 권장 최소, 최대 이상으로는 설정 불가. 디폴트도 계산에 따라 해당값으로 설정됨",SFR-401,,,백업 예비량 설정값,
,SET_006,ESS 예비율 가이드 정보 제공,"백업 예비량 사용현황을 분석하여 예비율 가이드 정보 제공
- 3개월 백업 분석하여, 발생 백업건, 백업건당 평균 사용률, 최대 사용률
- 사용률은 사용량을 바탕으로 계산",,,과거 소비/백업 데이터,,60Hz에서 계산
,SET_007,기상악화 대비 모드 사용 설정,"기상악화 대비모드 사용 여부 설정
- True / false",SFR-414,,,Storm Watch 활성화 설정,
,SET_008,외부전력 차단 모드 수동 설정,"외부전력 차단모드 수동 설정
- True / false",,,,Off-Grid 수동 설정,
,SET_009,설정값 반영한 시뮬레이션 정보 제공,"설정값을 반영하여 시뮬레이션 노출
- 사용모드 : smart, self-powered, time-based
- strom watch mode 사용 여부 : true / false
- grid off 수동 설정 : true / false
- ess 예비율
- 외부 송전 설정 : 사용안함 / only Solar / solar + ESS
- ESS 추가(n) 설정 (시뮬레이션 용)
위의 설정값을 반영하여 기상정보와 유저의 사용정보를 조합하여 30일 예상 데이터를 도출
- 총 사용량, 자립 에너지 사용량(+절감금액), Gird 수전량(+전기요금), Grid 송전량(판매수익), 자립률
- 피드백 코멘트 필요 시 노출 
  - 외부전력 차단모드 ON & 시뮬레이션에서 전력망 사용량이 발생 시 : 외부전력 차단모드를 사용하여 정전될 확률이 있습니다.
  - 기상악화 대비모드 ON & 30일 이내 기상악화 대비모드 발생가능 시 : 기상악화가 예상되어 ESS 예비 비축이 진행될 수 있습니다.",SFR-221,,"과거 데이터, 예측 데이터",,60Hz에서 계산
,SET_010,알림 설정,"항목별 알림 설정
- 배터리 예비량 미만 알림
- 발전량 부족 알림
- 상태 이상 알림 
- 자립률 부족 알림. (설정한 자립률 설정 필요. 미만 도달 시)
- 사용률 증가 알림. (설정한 증가률 설정 필요. 초과 도달 시)
- 수전,송전 알림
- 기상 특보 알림
- 에너지 리포트 알림 (월 초 생성됨)",,,,,60Hz 자체 처리 (DB 저장)
알림,NOT_001,내부 메시지로 표현,"Push, 문자, 이메일 아닌 앱 내 알림 메시지로 구현",,,,,60Hz 자체 처리 (FCM)
,NOT_002,외부전력 차단 모드 전환,"Grid 사용 불가에 따른 외부전력 차단 모드 전환 안내 (수동 설정건은 제외)
- 현재 자체 에너지 사용에 따른 전력 사용 가능시간 안내",SFR-402,,정전 감지 이벤트,,
,NOT_003,외부전력 차단 모드 해제,Grid 재사용 가능에 따른 외부전력 차단 모드 해제 안내 (수동 설정건은 제외),SFR-402,,전력 복구 이벤트,,
,NOT_004,기상악화 대비 모드 전환,기상악화 정보에 따른 기상악화 대비 모드 전환 안내,"SFR-411
SFR-413",,Storm Watch 활성화 이벤트,,
,NOT_005,기상악화 대비 모드 해제,기상악화 정보에 따른 기상악화 대비 모드 해제 안내,"SFR-411
SFR-413",,Storm Watch 해제 이벤트,,
,NOT_006,ESS 예비량 사용 시 알림,ESS 예비량 사용 시 알림,,,ESS SoC,,60Hz에서 판단
,NOT_007,ESS 완전 방전 시 알림,ESS 완전 방전 시 알림,,,ESS 방전 상태,,
,NOT_008,발전량 부족,"발전량이 예측 대비 부족 시 알림 (80% 미만)
- 일 기준. 다음날 8시 알림",N,,"PV 발전량, 예측값",,60Hz에서 판단
,NOT_009,자립률 부족,"설정한 자립률 미만 일 시 알림
- 일 기준. 다음날 8시 알림",,,에너지 플로우 데이터,,60Hz에서 판단
,NOT_010,사용량 증가,"사용량 예측값 보다 설정한 증가율 초과 시 알림
- 일 기준. 다음날 8시 알림",,,시간별 소비 데이터,,60Hz에서 판단
,NOT_011,에너지 리포트 알림,"에너지 리포트 생성(지난 달) 시 알림
- 클릭 시 에너지 리포트로 랜딩",,,,,60Hz 자체 처리
,NOT_012,상태 이상 알림,"Solar 공급 이상 알림
Grid 수전 이상 알림
Grid 송전 이상 알림
ESS 충전 이상 알림
ESS 방전 이상 알림
EV 충전 이상 알림
EV 방전 이상 알림",,,디바이스 상태/오류,,
,NOT_013,기상 특보 알림,"기상 데이터 기준 특보 알림
- 한국, 미국(캘리포니아 기준)",,"한국, 미국(캘리포니아 기준)",,,60Hz 자체 처리 (기상청 API)
,NOT_014,Grid 수전/송전 전환 알림,Grid 수전/송전 전환 시 알림,,,Grid 상태 변경,,
,NOT_015,네트워크 단절 알림,네트워크 단절 시 알림,,,연결 상태,,장시간 연결되지않을때 판단
,NOT_016,네트워크 복구 알림,단절 후 네트워크 복구 시 알림,,,연결 상태,,
